2026-01-22 06:15:02,555 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 06:15:02,575 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 06:15:02,575 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 06:15:03,002 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 06:15:03,050 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 06:15:03,051 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 06:15:03,079 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
2026-01-22 06:15:03,152 | INFO | app | [REMOVED] Skipping removed orders: [250666, 250506, 250504]
2026-01-22 06:15:03,238 | INFO | job_p4 | Existing Plant4 job found for SO 251207: 907822
2026-01-22 06:15:03,254 | ERROR | app | PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 06:15:03,265 | INFO | app | [FILM VALIDATION EMAIL] Duplicate suppressed for SO=251207 (sent_ts=2026-01-21T18:45:17) sig=3fe6ccf6f4243f41e8ea5963ac0724f88a2856f0
2026-01-22 06:15:03,265 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 06:15:03,280 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 06:15:03,842 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 06:15:03,862 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 06:15:04,252 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 06:15:04,276 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 06:25:02,544 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 06:25:02,548 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 06:25:02,549 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 06:25:02,956 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 06:25:02,996 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 06:25:02,997 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
2026-01-22 06:25:03,029 | INFO | eligibility | Eligible LWS SOs since 12/26/2025: 200
2026-01-22 06:25:03,096 | INFO | app | [REMOVED] Skipping removed orders: [250666, 250506, 250504]
2026-01-22 06:25:03,142 | INFO | job_p4 | Existing Plant4 job found for SO 251207: 907822
2026-01-22 06:25:03,166 | ERROR | app | PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 06:25:03,180 | INFO | app | [FILM VALIDATION EMAIL] Duplicate suppressed for SO=251207 (sent_ts=2026-01-21T18:45:17) sig=3fe6ccf6f4243f41e8ea5963ac0724f88a2856f0
2026-01-22 06:25:03,180 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 06:25:03,191 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 06:25:03,517 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 06:25:03,535 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 06:25:03,796 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 06:25:03,844 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 06:35:02,671 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 06:35:02,676 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 06:35:02,677 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 06:35:03,072 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 06:35:03,122 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
2026-01-22 06:35:03,122 | INFO | app | [Phase2B] WAITING_POLYTEX_RECONFIRM: so4=250351 job=907108 item=16P4-2300-JMS01-0078 reqgroup=P4-PF snapshot_qty=410364.0 pvreq_qty=410364.0 (PV_Req unchanged; skipping Phase2B)
